State,Total_2006,Africa_2006,Asia_2006,Europe_2006,Northern America_2006,Oceania_2006,Latin America_2006,Total_2007,Africa_2007,Asia_2007,Europe_2007,Northern America_2007,Oceania_2007,Latin America_2007,Total_2008,Africa_2008,Asia_2008,Europe_2008,Northern America_2008,Oceania_2008,Latin America_2008,Total_2009,Africa_2009,Asia_2009,Europe_2009,Northern America_2009,Oceania_2009,Latin America_2009,Total_2010,Africa_2010,Asia_2010,Europe_2010,Northern America_2010,Oceania_2010,Latin America_2010,Total_2011,Africa_2011,Asia_2011,Europe_2011,Northern America_2011,Oceania_2011,Latin America_2011,Total_2012,Africa_2012,Asia_2012,Europe_2012,Northern America_2012,Oceania_2012,Latin America_2012,Total_2013,Africa_2013,Asia_2013,Europe_2013,Northern America_2013,Oceania_2013,Latin America_2013
New Jersey,65934,6333,21603,9153,13430,151,15169,55834,5360,20264,6736,11852,111,11449,53997,5144,21182,5855,11418,108,10237,58879,5774,21034,5593,14787,120,11510,56920,5571,20923,4947,15149,103,10157,55547,4976,21487,4773,13937,76,10246,50790,5158,19828,4352,12660,90,8657,53082,5387,19533,4761,13575,123,9497
New Mexico,3805,105,775,320,440,20,2141,3112,84,694,322,236,18,1752,3509,112,679,261,320,10,2123,3887,178,815,287,285,23,2297,3528,154,931,223,235,28,1956,3767,149,988,216,257,6,2148,3714,154,820,202,202,14,2321,3664,136,936,221,209,10,2146
New York,180165,11603,63159,27754,48190,503,28604,136739,9703,50190,18676,37671,396,19954,143679,11020,54350,19528,38567,391,19669,150722,12046,58012,15113,46323,385,18708,147999,10513,55830,14269,47830,408,19017,148426,9952,65901,13052,41998,379,17038,149505,12557,63423,14497,41768,414,16676,133601,10486,54065,13630,38408,484,16073
North Carolina,18989,2759,5797,2865,2710,106,4712,15469,2406,5388,1882,2164,57,3535,15174,2411,5259,1927,1950,63,3535,18562,2857,6602,1989,2385,89,4611,16112,2791,6644,1465,2029,92,3053,17571,2549,7720,1622,2051,60,3527,17487,2805,7619,1453,2116,55,3385,16798,2419,7136,1557,2187,77,3343
North Dakota,649,219,162,138,91,3,35,496,115,184,109,-10,,21,662,259,197,102,63,5,36,843,401,234,84,82,6,36,1058,274,581,87,73,4,38,948,233,518,68,81,6,40,1144,339,568,85,79,3,70,1234,293,687,92,84,3,72
Ohio,16592,4325,6174,3160,1333,81,1451,14078,3509,5703,2501,1108,66,1164,14595,4302,5404,2479,1083,55,1226,15375,5045,6065,1988,994,66,1168,13585,3376,6405,1682,905,74,1101,13857,3342,6868,1581,856,52,1091,13948,3686,6825,1481,782,53,1073,13819,3304,6901,1564,851,58,1089
Oklahoma,4591,465,1785,452,406,28,1445,4269,414,1645,391,334,29,1446,4306,390,1519,358,270,24,1734,5007,506,1963,335,289,18,1889,4627,479,1981,333,278,25,1528,4503,447,1984,296,268,19,1488,4646,527,1981,255,300,18,1561,4648,545,2034,279,295,12,1473
Oregon,9192,752,3095,2503,792,121,1921,7905,602,3065,1530,723,142,1834,9028,682,3284,1779,770,110,2395,9026,1047,3405,1477,670,117,2303,7997,723,3853,974,557,136,1742,7694,745,3735,858,555,102,1692,7791,796,3604,854,591,108,1834,7171,603,3217,848,563,128,1786
Origin,Total,Africa,Asia,Europe,Northern America,Oceania,Latin America,Total,Africa,Asia,Europe,Northern America,Oceania,Latin America,Total,Africa,Asia,Europe,Northern America,Oceania,Latin America,Total,Africa,Asia,Europe,Northern America,Oceania,Latin America,Total,Africa,Asia,Europe,Northern America,Oceania,Latin America,Total,Africa,Asia,Europe,Northern America,Oceania,Latin America,Total,Africa,Asia,Europe,Northern America,Oceania,Latin America,Total,Africa,Asia,Europe,Northern America,Oceania,Latin America
Pennsylvania,25958,3944,10002,5207,3990,113,2653,22811,3254,9530,4222,3349,81,2334,23646,3989,9287,4349,3615,80,2280,24105,4581,9663,3625,4019,84,2091,24130,3919,10722,3172,4302,87,1876,25397,4078,12071,2839,4243,77,2046,25032,4139,12004,2723,4090,62,1966,24720,3703,11554,2978,4285,84,1991
