,Total_2006,Africa_2006,Asia_2006,Europe_2006,Northern America_2006,Oceania_2006,Latin America_2006,Total_2007,Africa_2007,Asia_2007,Europe_2007,Northern America_2007,Oceania_2007,Latin America_2007,Total_2008,Africa_2008,Asia_2008,Europe_2008,Northern America_2008,Oceania_2008,Latin America_2008,Total_2009,Africa_2009,Asia_2009,Europe_2009,Northern America_2009,Oceania_2009,Latin America_2009,Total_2010,Africa_2010,Asia_2010,Europe_2010,Northern America_2010,Oceania_2010,Latin America_2010,Total_2011,Africa_2011,Asia_2011,Europe_2011,Northern America_2011,Oceania_2011,Latin America_2011,Total_2012,Africa_2012,Asia_2012,Europe_2012,Northern America_2012,Oceania_2012,Latin America_2012,Total_2013,Africa_2013,Asia_2013,Europe_2013,Northern America_2013,Oceania_2013,Latin America_2013,Abbreviations
New Mexico,1538.0,48.0,385.0,200.0,39.0,8.0,854.0,1704.0,32.0,339.0,176.0,53.0,12.0,1087.0,3058.0,62.0,498.0,206.0,58.0,14.0,2215.0,3062.0,69.0,494.0,233.0,64.0,12.0,2178.0,2205.0,79.0,509.0,215.0,51.0,16.0,1334.0,2434.0,65.0,451.0,230.0,45.0,13.0,1630.0,2689.0,83.0,506.0,182.0,45.0,11.0,1854.0,2371.0,78.0,496.0,201.0,46.0,13.0,1532.0,NM
New York,103870.0,5792.0,31154.0,21084.0,16582.0,159.0,29070.0,73676.0,3713.0,21361.0,12163.0,14058.0,118.0,22244.0,90572.0,3844.0,21542.0,13439.0,20214.0,162.0,31349.0,88733.0,5386.0,29730.0,13889.0,13910.0,178.0,25555.0,67972.0,4881.0,24931.0,11190.0,13175.0,131.0,13649.0,76603.0,5770.0,26220.0,11460.0,12730.0,134.0,20267.0,93584.0,6568.0,29363.0,11957.0,20548.0,149.0,24956.0,107330.0,6440.0,33351.0,11380.0,25763.0,155.0,26613.0,NY
North Carolina,12592.0,1754.0,4915.0,1998.0,733.0,51.0,3118.0,6606.0,781.0,2597.0,945.0,365.0,34.0,1877.0,8509.0,952.0,2951.0,1058.0,522.0,50.0,2961.0,16294.0,2101.0,6118.0,2031.0,984.0,85.0,4958.0,9988.0,1529.0,4002.0,1231.0,662.0,51.0,2504.0,11360.0,1839.0,3857.0,1490.0,616.0,47.0,3493.0,11848.0,1792.0,3737.0,1577.0,578.0,57.0,3963.0,12150.0,1811.0,4247.0,1473.0,714.0,56.0,3753.0,NC
North Dakota,329.0,66.0,75.0,124.0,32.0,0.0,31.0,415.0,95.0,95.0,147.0,62.0,0.0,16.0,336.0,53.0,83.0,120.0,48.0,,13.0,273.0,68.0,78.0,74.0,36.0,5.0,12.0,286.0,82.0,105.0,62.0,20.0,,7.0,369.0,118.0,97.0,83.0,35.0,,22.0,377.0,177.0,78.0,66.0,32.0,,16.0,532.0,208.0,147.0,82.0,43.0,6.0,46.0,ND
Ohio,8796.0,1814.0,3380.0,2420.0,323.0,32.0,780.0,9250.0,1758.0,3820.0,2224.0,383.0,20.0,1020.0,11142.0,2129.0,4685.0,2523.0,487.0,41.0,1244.0,8072.0,1789.0,3546.0,1579.0,277.0,25.0,822.0,8617.0,2220.0,3616.0,1618.0,390.0,17.0,729.0,9326.0,2680.0,3467.0,1611.0,335.0,37.0,1168.0,10194.0,3096.0,3828.0,1714.0,363.0,37.0,1092.0,10664.0,3179.0,4103.0,1714.0,439.0,24.0,1140.0,OH
Oklahoma,2246.0,222.0,961.0,207.0,66.0,11.0,777.0,1812.0,145.0,720.0,148.0,54.0,6.0,735.0,3335.0,196.0,1215.0,285.0,82.0,12.0,1527.0,2256.0,209.0,931.0,212.0,48.0,9.0,843.0,2678.0,301.0,1184.0,235.0,99.0,20.0,836.0,2966.0,387.0,1112.0,280.0,112.0,21.0,1052.0,3133.0,355.0,1254.0,240.0,79.0,26.0,1173.0,3487.0,443.0,1418.0,239.0,90.0,,1243.0,OK
Oregon,4332.0,267.0,1801.0,1087.0,141.0,68.0,961.0,5572.0,273.0,2305.0,1289.0,163.0,87.0,1455.0,9257.0,356.0,3347.0,2059.0,276.0,104.0,3110.0,5051.0,334.0,2068.0,1054.0,125.0,74.0,1392.0,4910.0,393.0,1989.0,1041.0,165.0,77.0,1245.0,5657.0,471.0,1974.0,1288.0,154.0,74.0,1696.0,5872.0,524.0,1916.0,1376.0,151.0,104.0,1786.0,5784.0,450.0,2153.0,1162.0,165.0,,1767.0,OR
Puerto Rico,,,,,,,,,,,,,,,2622.0,8.0,87.0,83.0,1622.0,0.0,819.0,1253.0,,63.0,56.0,702.0,,421.0,1318.0,7.0,70.0,50.0,771.0,0.0,416.0,1692.0,,,54.0,1069.0,0.0,515.0,2212.0,3.0,61.0,67.0,1514.0,0.0,542.0,2447.0,4.0,54.0,56.0,1860.0,0.0,467.0,PA
South Carolina,2940.0,286.0,1193.0,593.0,180.0,19.0,659.0,1499.0,122.0,574.0,311.0,92.0,8.0,385.0,3488.0,241.0,1305.0,609.0,217.0,16.0,1084.0,3506.0,275.0,1312.0,667.0,219.0,18.0,1001.0,3081.0,348.0,1342.0,461.0,240.0,22.0,667.0,4033.0,435.0,1352.0,649.0,255.0,32.0,1309.0,4124.0,480.0,1286.0,639.0,224.0,38.0,1413.0,4770.0,599.0,1530.0,734.0,281.0,35.0,1510.0,RI
South Dakota,342.0,120.0,52.0,106.0,13.0,,43.0,460.0,128.0,97.0,143.0,24.0,,54.0,572.0,142.0,152.0,151.0,27.0,4.0,96.0,415.0,157.0,104.0,86.0,18.0,,39.0,399.0,129.0,136.0,74.0,12.0,0.0,48.0,420.0,141.0,100.0,98.0,24.0,3.0,54.0,467.0,176.0,98.0,104.0,14.0,,65.0,464.0,178.0,136.0,87.0,18.0,3.0,42.0,SC
Tennessee,3334.0,608.0,1488.0,506.0,149.0,19.0,555.0,2927.0,585.0,1205.0,437.0,98.0,9.0,586.0,5560.0,840.0,2454.0,656.0,218.0,26.0,1337.0,4938.0,961.0,2183.0,602.0,185.0,23.0,969.0,4229.0,1090.0,1793.0,468.0,150.0,20.0,701.0,5396.0,1337.0,2073.0,608.0,169.0,19.0,1180.0,5557.0,1470.0,1970.0,655.0,148.0,24.0,1253.0,5004.0,1187.0,1960.0,564.0,134.0,24.0,1110.0,SD
Texas,37835.0,2996.0,14120.0,2721.0,903.0,136.0,16874.0,53032.0,3445.0,17009.0,2972.0,1108.0,119.0,28203.0,82129.0,4107.0,21272.0,3768.0,1567.0,201.0,50963.0,54024.0,4457.0,18451.0,2854.0,1068.0,147.0,26951.0,49699.0,5238.0,19631.0,3037.0,1403.0,170.0,20186.0,52927.0,5409.0,17671.0,2953.0,1161.0,172.0,25532.0,57762.0,5880.0,18063.0,2894.0,1078.0,166.0,29519.0,57947.0,5687.0,19663.0,3017.0,1180.0,166.0,28147.0,TN
Total,702589.0,50397.0,257125.0,107459.0,44231.0,3657.0,238840.0,660477.0,41652.0,238797.0,86742.0,37831.0,3342.0,251465.0,1046539.0,54420.0,323792.0,115187.0,61965.0,4781.0,485260.0,743715.0,60383.0,276375.0,90149.0,41443.0,3928.0,270497.0,619913.0,64023.0,251598.0,77951.0,44779.0,3646.0,177590.0,694193.0,69738.0,249940.0,82209.0,39330.0,3734.0,248905.0,757434.0,74775.0,257035.0,82714.0,51414.0,3886.0,284925.0,779929.0,71872.0,275700.0,80333.0,59336.0,3849.0,265158.0,TX
