Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Dependencies	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Italy	2569	9	0	37	4	469	24	57	6	13	270	53	16	3	90	22	6	5	5	13	3	40	115	39	26		22	7		22	4	142	10	485	47		48	7	15	106	5	18	0	16	91	6	11	14	3	76	66	5	12	0
Jamaica	19375	33		28	10	288	38	906	64	42	5747	962		0	198	30	3	8	10	37	26	474	460	115	48	47	51		3	25	14	1192		6842	172		100	23	6	506	18	145		53	295	0	14	3	7	234	18	13	52	6
Japan	6748	27	10	70	19	2094	83	42	5	22	236	130	523	17	180	54	24	23	33	30	8	91	133	138	60	21	38	7	12	74	16	265	22	786	87		144	32	108	117	12	36	6	54	215		54	57	5	142	325	14	41	
Jordan	3917	40		57	7	730	11	15		0	210	51		0	505	43	16	17	62	61		49	49	196	20	8	44	0	6	24	4	274	8	288	101		248	22	10	101		16		87	262	0	20			125	53	6	58	0
Kazakhstan	1604	11	6	25		246	36	12	8	3	104	41	11	7	52	12	10	9	15	8	13	30	58	25	28		9	0	4	12	4	74	6	240	31		50	5	33	74	3	10		16	74			15		62	79	0	19	3
Kenya	7030	100		195	7	642	73	52	93	22	150	443	8	37	119	108	70	149	74	17	65	275	545	111	530		172		61	53	77	324	7	203	200	15	246	44	54	228	13	41	24	96	679	0		48	53	171	265	4	61	
Kiribati	10	0	0	0	0	0		0	0	0	0	0		0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0		0	0	0	0
Korea	22405	182	91	256	37	7420	262	163	35	24	336	950	298	31	1011	145	56	82	80	37	19	699	292	370	156	20	103	12	39	141	29	1756	19	2266	300		235	51	191	587	30	67	12	179	874		97	101	22	1388	759	18	67	4
Kuwait	1017	19	0	13		138	9	4		0	77	34	0	3	85	23	5	4	10	17	0	18	17	56	4		22	0		3		57	0	64	35		64	10	9	23		6		11	102	0	3	0	0	29	17		13	0
Kyrgyzstan	597	3	5	16		100	11	4	0	5	30	8	3	3	10	9	0	3		4		13	17	6	10	5	5		4	4	3	25	3	83	5		18		10	23	0	5		7	22	0	0	3	0	24	71		8	0
