Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Territories	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
United Arab Emirates	910		0	10		166	12	5		0	45	21	0		0	59	20		9	4			21	26	51	14	0	13	0		4		40		78	13	0	20	4	6	26	0			0	15	135	0	0		0	46	18	0	8	0
United Kingdom	12984	61	16	219	41	2215	208	269	20	64	1293	380	5	30	25	347	127	46	54	65	55	42	284	533	248	140	23	84	16	25	98	88	549	32	1603	367	17	243	62	128	380	4	44	96	11	133	1162	5	5	96	33	346	418	19	103	7
United States	319			8	0	53	3	3	0	0	31	10	0	4	0	7						0	10	7			0		0	0	6	0	22		44	5	0			0	3	0		4	0		48	0	0	3	0	18	7	0	0	
Uruguay	1352		0	3	3	60	4	26		5	415	97	0	0	0	14		6	3			0	17	73	4	4			3		9	5	256		122	21	0	8			27	6		18	0	8	48	0	0	22	0	39	4		5	0
Uzbekistan	4382	7		14	4	248	53	27		9	195	40	0	0		90	14		6	11	4	0	105	23	47	21	3	22	0	4	7		85		2649	31	5	106	3	11	220	0		56	0	55	49			4	0	84	51		3	
Vanuatu		0		0	0		0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0
Venezuela	9572	11	5	61	11	287	51	38	18	18	5558	229	0		7	97	39	14	12	24	58	4	80	139	27	34	7	29	0	15	25	4	181	5	417	140	0	68	50	15	106	122	21	40	0	45	1131	0	0	90	4	157	43		26	6
Vietnam	27101	137	19	392	137	9769	438	140	45	17	1282	974		151	37	401	114	196	257	76	385	44	367	818	343	476	117	249	4	132	148	74	313	106	493	690	25	230	261	468	656	3	18	174	15	212	3390			132	17	759	1245	24	123	3
Yemen	3532	22			15	557	3	9	8	5	9	8	0	0	0	87	29			7	33	3	7		733	31	62	7	0	0	0		14		1553	83	0	27	0	12	9	0		4	0	55	33	0	0	0		45	43	5		0
Zambia	505	7	0	5	3	39	4	14	4		23	37	0		3	29	18	10					23	8	27	14	3	6	0	7	6		12	6	34	8	0	16	5		15	0	0	3	0	4	60	0	0	6	0	18	11	0	6	
Zimbabwe	924	7	0	36		63	14	6	0	4	36	55	0	3	4	15	47	3	6	17	6	0	40	45	25	19	6	5	3	10	7	8	29		35	28		39		5	39	0	0	3	3	9	164	0	0			47	13	3	5	4
Unknown	3263	13	4	50	22	637	33	33	4		213	70	10	50	8	145	32	5	24	18	27	5	88	92	60	37	12	15		15	49		206	6	455	79	3	52	10	26	125	11	11	6		24	313		3	4	0	62	61		24	
