Origin,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Gibraltar,,,0,,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0
Greece,1124,5,0,7,0,146,,46,4,6,64,11,,3,0,67,9,,3,3,3,3,36,98,31,9,0,6,0,,6,19,84,,239,30,0,19,0,4,60,,4,12,0,3,33,,,,0,19,13,0,6,0
Grenada,1068,,0,,,10,0,8,0,,78,15,,,0,,0,0,,,,0,45,13,,,0,0,0,0,,,42,0,764,10,0,3,,0,8,,0,6,0,4,24,0,4,,0,13,0,0,0,0
Guadeloupe,53,0,0,0,0,,0,,0,0,24,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,7,0,8,0,0,0,0,0,0,,0,,0,0,0,0,6,0,0,0,0,0,0,0
Guatemala,24146,180,19,355,92,9196,241,382,60,60,1356,524,,14,23,807,237,173,78,199,85,28,486,717,299,289,23,184,17,294,367,20,759,56,1454,389,8,327,123,232,326,,599,103,51,216,1177,0,20,136,15,873,220,30,217,10
Guinea,1110,,0,13,,27,10,14,14,10,13,89,,0,0,25,22,5,7,5,4,,82,43,22,32,0,7,0,,0,0,36,0,334,21,0,50,0,,64,,15,3,0,33,44,0,0,0,,38,16,,4,0
Guinea-Bissau,25,0,0,,0,,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,9552,4,,13,0,91,16,141,17,53,910,184,,,0,24,8,5,,5,5,,263,49,16,114,6,11,,,5,10,829,,6330,37,0,68,,,98,,5,7,0,24,84,0,10,,0,75,15,,3,0
Haiti,22228,11,,28,,113,23,498,78,12,12599,351,,0,14,105,34,5,8,33,12,4,212,1789,58,28,3,47,10,14,10,31,1357,6,3789,63,4,43,8,44,376,,79,12,,36,69,,54,45,3,61,29,7,7,
Honduras,8177,38,,61,9,1086,54,101,11,31,1790,155,,7,4,166,71,19,31,21,132,4,229,181,47,52,9,43,0,26,78,17,560,11,1088,184,,44,39,16,64,,13,59,4,52,813,4,12,29,,624,51,6,25,0
Hong Kong,3256,9,3,28,4,1340,19,24,,3,80,36,,48,5,67,13,10,7,,,,45,121,22,31,0,12,0,0,51,5,134,9,619,20,,39,3,20,54,,,8,,16,160,0,8,15,,51,95,0,8,
Hungary,1704,19,0,26,,272,28,55,,3,373,26,,8,0,47,6,3,,12,3,,30,37,17,9,6,12,,,33,3,101,4,259,24,,39,5,14,32,,3,11,0,9,56,0,,8,,64,27,0,6,
Iceland,145,4,0,6,0,23,,3,0,0,20,4,,,0,5,0,3,0,5,0,0,,3,4,,,0,0,0,0,,5,0,14,0,0,,0,,,,,,,,5,0,,,0,7,9,0,4,
India,61369,280,21,715,116,14110,308,906,194,43,3183,2433,,14,30,4479,494,141,237,391,176,35,1533,1520,1526,391,135,302,6,58,316,155,6491,81,6691,1128,20,1090,282,274,2111,,61,255,9,605,4131,0,14,87,28,1799,1441,55,455,13
Indonesia,4869,11,,58,9,1956,111,25,7,14,166,162,,42,5,74,20,12,16,24,9,,134,40,37,26,3,14,10,7,42,84,157,5,508,37,0,58,28,42,333,,4,21,,17,214,,3,10,3,158,121,4,18,4
Iran,13947,48,,234,13,7190,143,58,15,13,412,375,,4,22,310,52,12,66,41,39,15,485,174,108,55,8,101,,13,120,16,182,23,419,161,8,108,94,129,120,,7,32,3,171,1138,0,4,110,4,759,276,14,38,0
Iraq,4337,6,0,181,0,1021,39,30,0,6,42,56,,,,329,14,5,9,35,14,,16,15,1541,44,,55,0,63,18,3,31,10,88,21,,45,5,24,59,,10,,5,119,160,0,,9,0,135,45,3,17,0
Ireland,1906,9,0,30,,256,19,38,0,10,128,34,,,4,114,12,8,,18,4,7,29,236,16,15,,,,5,11,13,79,4,448,36,,19,,20,51,,18,18,3,13,61,0,5,9,3,42,30,0,18,
Israel,5943,12,7,47,4,1280,32,41,3,16,651,152,,12,6,211,33,13,11,17,13,,120,181,75,35,3,18,,6,81,4,397,,1576,66,,104,5,21,152,,4,42,,28,242,0,7,6,,59,104,3,34,0
Italy,3215,15,3,48,6,457,29,88,4,21,439,68,,14,,119,16,8,6,5,5,6,76,142,59,14,3,13,,5,23,5,206,16,654,58,,51,6,17,135,,13,15,,23,111,4,22,9,,96,51,,22,
Jamaica,24976,48,,50,8,340,49,1365,107,85,7207,1061,,5,,213,59,8,15,22,27,20,841,550,129,39,38,65,,12,15,33,1534,8,8983,205,,140,26,12,688,,46,131,,36,308,,21,10,14,301,34,10,47,
