	Total_2006	Africa_2006	Asia_2006	Europe_2006	Northern America_2006	Oceania_2006	Latin America_2006	Total_2007	Africa_2007	Asia_2007	Europe_2007	Northern America_2007	Oceania_2007	Latin America_2007	Total_2008	Africa_2008	Asia_2008	Europe_2008	Northern America_2008	Oceania_2008	Latin America_2008	Total_2009	Africa_2009	Asia_2009	Europe_2009	Northern America_2009	Oceania_2009	Latin America_2009	Total_2010	Africa_2010	Asia_2010	Europe_2010	Northern America_2010	Oceania_2010	Latin America_2010	Total_2011	Africa_2011	Asia_2011	Europe_2011	Northern America_2011	Oceania_2011	Latin America_2011	Total_2012	Africa_2012	Asia_2012	Europe_2012	Northern America_2012	Oceania_2012	Latin America_2012	Total_2013	Africa_2013	Asia_2013	Europe_2013	Northern America_2013	Oceania_2013	Latin America_2013	Abbreviations
Maryland	30204.0	8808.0	9622.0	2805.0	5699.0	68.0	3128.0	24255.0	7368.0	8443.0	1919.0	3961.0	57.0	2457.0	27062.0	8406.0	9203.0	2506.0	4319.0	62.0	2517.0	26722.0	8485.0	9385.0	1880.0	4314.0	73.0	2558.0	26450.0	7962.0	9799.0	1727.0	4442.0	69.0	2420.0	25778.0	7840.0	10019.0	1683.0	4068.0	56.0	2081.0	24971.0	7786.0	9926.0	1555.0	3661.0	52.0	1953.0	25361.0	7824.0	9615.0	1674.0	4148.0	49.0	1963.0	MD
Massachusetts	35560.0	6281.0	9755.0	5945.0	7867.0	117.0	5531.0	30555.0	5673.0	8744.0	4432.0	7142.0	116.0	4425.0	30369.0	5543.0	9559.0	4420.0	6890.0	90.0	3840.0	32607.0	6282.0	9291.0	4380.0	8665.0	84.0	3877.0	31069.0	5148.0	10489.0	3581.0	8395.0	89.0	3351.0	32236.0	5578.0	11242.0	3498.0	8300.0	87.0	3513.0	31392.0	5631.0	11205.0	3300.0	7903.0	79.0	3258.0	29482.0	5037.0	9797.0	3770.0	7556.0	116.0	3114.0	MA
Michigan	20911.0	1930.0	10281.0	4893.0	1839.0	78.0	1853.0	18727.0	1418.0	10258.0	3855.0	1559.0	50.0	1557.0	17947.0	1673.0	9454.0	3323.0	1590.0	59.0	1811.0	18919.0	1863.0	11089.0	2963.0	1294.0	70.0	1611.0	18579.0	1456.0	12041.0	2421.0	1239.0	64.0	1303.0	18347.0	1383.0	11897.0	2320.0	1119.0	43.0	1538.0	17494.0	1376.0	11315.0	2117.0	1072.0	58.0	1525.0	16952.0	1439.0	10687.0	2170.0	1079.0	66.0	1451.0	MI
Minnesota	18254.0	7308.0	6479.0	1965.0	1004.0	51.0	1415.0	13814.0	5167.0	5280.0	1177.0	834.0	61.0	1283.0	15832.0	7659.0	4776.0	1170.0	742.0	52.0	1420.0	18020.0	9579.0	4963.0	1235.0	712.0	53.0	1457.0	12408.0	5076.0	4697.0	919.0	544.0	54.0	1111.0	12389.0	4804.0	4740.0	866.0	607.0	46.0	1314.0	12999.0	5115.0	5327.0	739.0	559.0	35.0	1216.0	12781.0	4672.0	5017.0	834.0	731.0	60.0	1430.0	MN
Mississippi	1480.0	107.0	704.0	183.0	175.0	8.0	301.0	1593.0	99.0	751.0	165.0	218.0	9.0	348.0	1679.0	148.0	768.0	158.0	205.0	5.0	393.0	1652.0	129.0	713.0	182.0	219.0	12.0	389.0	1709.0	147.0	845.0	130.0	249.0	4.0	332.0	1666.0	109.0	824.0	154.0	207.0	3.0	363.0	1583.0	111.0	734.0	124.0	202.0	7.0	399.0	1716.0	154.0	857.0	111.0	208.0	3.0	371.0	MS
Missouri	6857.0	1311.0	2303.0	1642.0	687.0	65.0	829.0	6459.0	933.0	2592.0	1316.0	655.0	54.0	900.0	7078.0	1076.0	2897.0	1325.0	614.0	57.0	1095.0	7142.0	1662.0	2836.0	940.0	630.0	58.0	1000.0	7151.0	1292.0	3285.0	852.0	664.0	53.0	989.0	7048.0	1237.0	3446.0	725.0	682.0	34.0	896.0	6635.0	1167.0	3303.0	583.0	594.0	55.0	919.0	6345.0	1051.0	3152.0	697.0	546.0	42.0	842.0	MO
Montana	505.0	19.0	173.0	141.0	103.0	17.0	52.0	575.0	28.0	200.0	131.0	114.0	20.0	81.0	543.0	42.0	186.0	125.0	86.0	14.0	90.0	553.0	59.0	194.0	110.0	90.0	9.0	88.0	457.0	52.0	174.0	98.0	68.0	8.0	57.0	511.0	56.0	203.0	121.0	67.0	9.0	55.0	503.0	64.0	187.0	94.0	76.0	8.0	73.0	445.0	35.0	180.0	98.0	60.0		61.0	MT
Nebraska	3795.0	793.0	849.0	310.0	629.0	11.0	1195.0	3066.0	587.0	877.0	198.0	369.0	13.0	1020.0	3668.0	811.0	894.0	230.0	395.0	6.0	1328.0	3989.0	1137.0	1222.0	183.0	425.0	10.0	1006.0	4400.0	804.0	1812.0	176.0	580.0	5.0	1018.0	4535.0	846.0	1840.0	178.0	622.0	7.0	1038.0	4384.0	744.0	1924.0	120.0	559.0	11.0	1024.0	4141.0	670.0	1657.0	155.0	592.0	16.0	1036.0	NE
Nevada	14714.0	837.0	5256.0	1500.0	2439.0	117.0	4540.0	12308.0	766.0	4626.0	1134.0	1990.0	71.0	3703.0	11768.0	668.0	3906.0	904.0	2040.0	79.0	4167.0	12334.0	1003.0	4492.0	1003.0	1906.0	69.0	3852.0	10803.0	801.0	4435.0	842.0	1550.0	73.0	3097.0	10449.0	866.0	4265.0	740.0	1583.0	67.0	2925.0	10343.0	870.0	4094.0	757.0	1571.0	67.0	2982.0	9886.0	813.0	3829.0	804.0	1492.0	63.0	2836.0	NV
New Hampshire	2990.0	446.0	936.0	679.0	455.0	17.0	446.0	2272.0	339.0	849.0	462.0	293.0	26.0	300.0	2466.0	445.0	890.0	487.0	364.0	10.0	260.0	2483.0	556.0	914.0	356.0	357.0	20.0	278.0	2556.0	353.0	1312.0	309.0	348.0	13.0	220.0	2478.0	241.0	1461.0	261.0	286.0	11.0	216.0	2466.0	300.0	1310.0	276.0	325.0	16.0	233.0	2227.0	212.0	1156.0	328.0	285.0		231.0	NH
