,Total_2006,Africa_2006,Asia_2006,Europe_2006,Northern America_2006,Oceania_2006,Latin America_2006,Total_2007,Africa_2007,Asia_2007,Europe_2007,Northern America_2007,Oceania_2007,Latin America_2007,Total_2008,Africa_2008,Asia_2008,Europe_2008,Northern America_2008,Oceania_2008,Latin America_2008,Total_2009,Africa_2009,Asia_2009,Europe_2009,Northern America_2009,Oceania_2009,Latin America_2009,Total_2010,Africa_2010,Asia_2010,Europe_2010,Northern America_2010,Oceania_2010,Latin America_2010,Total_2011,Africa_2011,Asia_2011,Europe_2011,Northern America_2011,Oceania_2011,Latin America_2011,Total_2012,Africa_2012,Asia_2012,Europe_2012,Northern America_2012,Oceania_2012,Latin America_2012,Total_2013,Africa_2013,Asia_2013,Europe_2013,Northern America_2013,Oceania_2013,Latin America_2013,Abbreviations
Maryland,30204.0,8808.0,9622.0,2805.0,2321.0,68.0,7849.0,24255.0,7368.0,8443.0,1919.0,1605.0,57.0,5844.0,27062.0,8406.0,9203.0,2506.0,1938.0,62.0,6067.0,26722.0,8485.0,9385.0,1880.0,2010.0,73.0,6259.0,26450.0,7962.0,9799.0,1727.0,2148.0,69.0,6263.0,25778.0,7840.0,10019.0,1683.0,1910.0,56.0,5614.0,24971.0,7786.0,9926.0,1555.0,1840.0,52.0,5054.0,25361.0,7824.0,9615.0,1674.0,1940.0,49.0,5566.0,MD
Massachusetts,35560.0,6281.0,9755.0,5945.0,6071.0,117.0,12417.0,30555.0,5673.0,8744.0,4432.0,5598.0,116.0,10781.0,30369.0,5543.0,9559.0,4420.0,5699.0,90.0,9936.0,32607.0,6282.0,9291.0,4380.0,7440.0,84.0,11739.0,31069.0,5148.0,10489.0,3581.0,7252.0,89.0,11081.0,32236.0,5578.0,11242.0,3498.0,7165.0,87.0,11088.0,31392.0,5631.0,11205.0,3300.0,6667.0,79.0,10548.0,29482.0,5037.0,9797.0,3770.0,6262.0,116.0,9972.0,MA
Michigan,20911.0,1930.0,10281.0,4893.0,1376.0,78.0,2595.0,18727.0,1418.0,10258.0,3855.0,1170.0,50.0,2340.0,17947.0,1673.0,9454.0,3323.0,1291.0,59.0,2595.0,18919.0,1863.0,11089.0,2963.0,1129.0,70.0,2185.0,18579.0,1456.0,12041.0,2421.0,1059.0,64.0,1869.0,18347.0,1383.0,11897.0,2320.0,932.0,43.0,2063.0,17494.0,1376.0,11315.0,2117.0,886.0,58.0,2040.0,16952.0,1439.0,10687.0,2170.0,879.0,66.0,1980.0,MI
Minnesota,18254.0,7308.0,6479.0,1965.0,480.0,51.0,2033.0,13814.0,5167.0,5280.0,1177.0,393.0,61.0,1818.0,15832.0,7659.0,4776.0,1170.0,389.0,52.0,1912.0,18020.0,9579.0,4963.0,1235.0,439.0,53.0,1886.0,12408.0,5076.0,4697.0,919.0,347.0,54.0,1419.0,12389.0,4804.0,4740.0,866.0,390.0,46.0,1673.0,12999.0,5115.0,5327.0,739.0,350.0,35.0,1562.0,12781.0,4672.0,5017.0,834.0,413.0,60.0,1894.0,MN
Mississippi,1480.0,107.0,704.0,183.0,116.0,8.0,411.0,1593.0,99.0,751.0,165.0,126.0,9.0,509.0,1679.0,148.0,768.0,158.0,125.0,5.0,550.0,1652.0,129.0,713.0,182.0,142.0,12.0,557.0,1709.0,147.0,845.0,130.0,169.0,4.0,518.0,1666.0,109.0,824.0,154.0,135.0,3.0,533.0,1583.0,111.0,734.0,124.0,137.0,7.0,570.0,1716.0,154.0,857.0,111.0,141.0,3.0,536.0,MS
Missouri,6857.0,1311.0,2303.0,1642.0,362.0,65.0,1294.0,6459.0,933.0,2592.0,1316.0,338.0,54.0,1403.0,7078.0,1076.0,2897.0,1325.0,355.0,57.0,1565.0,7142.0,1662.0,2836.0,940.0,415.0,58.0,1437.0,7151.0,1292.0,3285.0,852.0,456.0,53.0,1507.0,7048.0,1237.0,3446.0,725.0,454.0,34.0,1453.0,6635.0,1167.0,3303.0,583.0,396.0,55.0,1378.0,6345.0,1051.0,3152.0,697.0,366.0,42.0,1263.0,MO
Montana,505.0,19.0,173.0,141.0,77.0,17.0,88.0,575.0,28.0,200.0,131.0,97.0,20.0,105.0,543.0,42.0,186.0,125.0,76.0,14.0,107.0,553.0,59.0,194.0,110.0,83.0,9.0,107.0,457.0,52.0,174.0,98.0,62.0,8.0,70.0,511.0,56.0,203.0,121.0,67.0,9.0,64.0,503.0,64.0,187.0,94.0,70.0,8.0,87.0,445.0,35.0,180.0,98.0,60.0,,61.0,MT
Nebraska,3795.0,793.0,849.0,310.0,128.0,11.0,1726.0,3066.0,587.0,877.0,198.0,75.0,13.0,1340.0,3668.0,811.0,894.0,230.0,105.0,6.0,1669.0,3989.0,1137.0,1222.0,183.0,156.0,10.0,1384.0,4400.0,804.0,1812.0,176.0,246.0,5.0,1554.0,4535.0,846.0,1840.0,178.0,250.0,7.0,1627.0,4384.0,744.0,1924.0,120.0,241.0,11.0,1531.0,4141.0,670.0,1657.0,155.0,250.0,16.0,1590.0,NE
Nevada,14714.0,837.0,5256.0,1500.0,1276.0,117.0,5759.0,12308.0,766.0,4626.0,1134.0,1070.0,71.0,5463.0,11768.0,668.0,3906.0,904.0,1202.0,79.0,6029.0,12334.0,1003.0,4492.0,1003.0,1090.0,69.0,5532.0,10803.0,801.0,4435.0,842.0,884.0,73.0,4463.0,10449.0,866.0,4265.0,740.0,957.0,67.0,4339.0,10343.0,870.0,4094.0,757.0,970.0,67.0,4370.0,9886.0,813.0,3829.0,804.0,837.0,63.0,4166.0,NV
New Hampshire,2990.0,446.0,936.0,679.0,391.0,17.0,725.0,2272.0,339.0,849.0,462.0,243.0,26.0,475.0,2466.0,445.0,890.0,487.0,309.0,10.0,494.0,2483.0,556.0,914.0,356.0,334.0,20.0,542.0,2556.0,353.0,1312.0,309.0,329.0,13.0,487.0,2478.0,241.0,1461.0,261.0,257.0,11.0,430.0,2466.0,300.0,1310.0,276.0,301.0,16.0,481.0,2227.0,212.0,1156.0,328.0,253.0,,443.0,NH
New Jersey,65934.0,6333.0,21603.0,9153.0,10530.0,151.0,26300.0,55834.0,5360.0,20264.0,6736.0,9580.0,111.0,22086.0,53997.0,5144.0,21182.0,5855.0,9310.0,108.0,20494.0,58879.0,5774.0,21034.0,5593.0,12568.0,120.0,25138.0,56920.0,5571.0,20923.0,4947.0,13065.0,103.0,24331.0,55547.0,4976.0,21487.0,4773.0,11979.0,76.0,23245.0,50790.0,5158.0,19828.0,4352.0,10750.0,90.0,20388.0,53082.0,5387.0,19533.0,4761.0,11406.0,123.0,22199.0,NJ
New Mexico,3805.0,105.0,775.0,320.0,319.0,20.0,2284.0,3112.0,84.0,694.0,322.0,144.0,18.0,1937.0,3509.0,112.0,679.0,261.0,226.0,10.0,2376.0,3887.0,178.0,815.0,287.0,207.0,23.0,2517.0,3528.0,154.0,931.0,223.0,161.0,28.0,2134.0,3767.0,149.0,988.0,216.0,177.0,6.0,2345.0,3714.0,154.0,820.0,202.0,152.0,14.0,2476.0,3664.0,136.0,936.0,221.0,152.0,10.0,2315.0,NM
New York,180165.0,11603.0,63159.0,27754.0,41689.0,503.0,67110.0,136739.0,9703.0,50190.0,18676.0,33092.0,396.0,50667.0,143679.0,11020.0,54350.0,19528.0,34331.0,391.0,51293.0,150722.0,12046.0,58012.0,15113.0,42079.0,385.0,58494.0,147999.0,10513.0,55830.0,14269.0,43565.0,408.0,61031.0,148426.0,9952.0,65901.0,13052.0,38238.0,379.0,53951.0,149505.0,12557.0,63423.0,14497.0,37923.0,414.0,52475.0,133601.0,10486.0,54065.0,13630.0,34687.0,484.0,49040.0,NY
North Carolina,18989.0,2759.0,5797.0,2865.0,1375.0,106.0,6466.0,15469.0,2406.0,5388.0,1882.0,1020.0,57.0,5166.0,15174.0,2411.0,5259.0,1927.0,1086.0,63.0,4981.0,18562.0,2857.0,6602.0,1989.0,1341.0,89.0,6391.0,16112.0,2791.0,6644.0,1465.0,1126.0,92.0,4669.0,17571.0,2549.0,7720.0,1622.0,1130.0,60.0,5153.0,17487.0,2805.0,7619.0,1453.0,1191.0,55.0,5091.0,16798.0,2419.0,7136.0,1557.0,1237.0,77.0,5063.0,NC
North Dakota,649.0,219.0,162.0,138.0,83.0,3.0,47.0,496.0,115.0,184.0,109.0,-19.0,,35.0,662.0,259.0,197.0,102.0,56.0,5.0,43.0,843.0,401.0,234.0,84.0,82.0,6.0,41.0,1058.0,274.0,581.0,87.0,73.0,4.0,45.0,948.0,233.0,518.0,68.0,78.0,6.0,54.0,1144.0,339.0,568.0,85.0,76.0,3.0,97.0,1234.0,293.0,687.0,92.0,84.0,3.0,86.0,ND
Ohio,16592.0,4325.0,6174.0,3160.0,823.0,81.0,2238.0,14078.0,3509.0,5703.0,2501.0,676.0,66.0,1841.0,14595.0,4302.0,5404.0,2479.0,679.0,55.0,1914.0,15375.0,5045.0,6065.0,1988.0,752.0,66.0,1759.0,13585.0,3376.0,6405.0,1682.0,718.0,74.0,1626.0,13857.0,3342.0,6868.0,1581.0,694.0,52.0,1603.0,13948.0,3686.0,6825.0,1481.0,603.0,53.0,1580.0,13819.0,3304.0,6901.0,1564.0,653.0,58.0,1624.0,OH
Oklahoma,4591.0,465.0,1785.0,452.0,174.0,28.0,1718.0,4269.0,414.0,1645.0,391.0,134.0,29.0,1682.0,4306.0,390.0,1519.0,358.0,136.0,24.0,1908.0,5007.0,506.0,1963.0,335.0,154.0,18.0,2059.0,4627.0,479.0,1981.0,333.0,138.0,25.0,1722.0,4503.0,447.0,1984.0,296.0,152.0,19.0,1676.0,4646.0,527.0,1981.0,255.0,190.0,18.0,1749.0,4648.0,545.0,2034.0,279.0,154.0,12.0,1692.0,OK
Oregon,9192.0,752.0,3095.0,2503.0,415.0,121.0,2358.0,7905.0,602.0,3065.0,1530.0,373.0,142.0,2317.0,9028.0,682.0,3284.0,1779.0,471.0,110.0,2943.0,9026.0,1047.0,3405.0,1477.0,402.0,117.0,2763.0,7997.0,723.0,3853.0,974.0,321.0,136.0,2134.0,7694.0,745.0,3735.0,858.0,315.0,102.0,2057.0,7791.0,796.0,3604.0,854.0,329.0,108.0,2245.0,7171.0,603.0,3217.0,848.0,312.0,128.0,2162.0,OR
Pennsylvania,25958.0,3944.0,10002.0,5207.0,3350.0,113.0,5492.0,22811.0,3254.0,9530.0,4222.0,2696.0,81.0,5023.0,23646.0,3989.0,9287.0,4349.0,3039.0,80.0,5190.0,24105.0,4581.0,9663.0,3625.0,3670.0,84.0,5430.0,24130.0,3919.0,10722.0,3172.0,3955.0,87.0,5570.0,25397.0,4078.0,12071.0,2839.0,3879.0,77.0,5695.0,25032.0,4139.0,12004.0,2723.0,3772.0,62.0,5476.0,24720.0,3703.0,11554.0,2978.0,3873.0,84.0,5741.0,PA
Rhode Island,4778.0,1060.0,840.0,424.0,1095.0,12.0,2370.0,3354.0,727.0,620.0,290.0,855.0,10.0,1637.0,3735.0,939.0,654.0,306.0,956.0,10.0,1749.0,4156.0,1183.0,609.0,308.0,1210.0,13.0,1977.0,4027.0,930.0,648.0,211.0,1376.0,10.0,2171.0,3681.0,763.0,683.0,226.0,1168.0,11.0,1959.0,3798.0,864.0,707.0,256.0,1163.0,12.0,1903.0,3337.0,707.0,592.0,268.0,1045.0,9.0,1708.0,RI
South Carolina,5292.0,444.0,1492.0,1179.0,443.0,31.0,1844.0,4788.0,424.0,1456.0,815.0,418.0,27.0,1826.0,4241.0,358.0,1360.0,859.0,356.0,15.0,1477.0,4747.0,384.0,1593.0,833.0,428.0,22.0,1717.0,4401.0,457.0,1673.0,679.0,405.0,22.0,1360.0,4216.0,394.0,1590.0,691.0,388.0,32.0,1350.0,3924.0,341.0,1503.0,561.0,356.0,21.0,1351.0,4266.0,400.0,1693.0,593.0,386.0,24.0,1363.0,SC
South Dakota,1013.0,367.0,213.0,217.0,58.0,3.0,155.0,668.0,186.0,196.0,134.0,38.0,,92.0,773.0,281.0,232.0,81.0,42.0,,138.0,1271.0,649.0,297.0,142.0,53.0,,115.0,987.0,339.0,423.0,79.0,38.0,7.0,115.0,1337.0,450.0,609.0,86.0,52.0,14.0,142.0,1521.0,546.0,715.0,75.0,46.0,7.0,149.0,1231.0,271.0,728.0,67.0,34.0,,123.0,SD
Tennessee,10042.0,2511.0,3822.0,1209.0,468.0,71.0,2034.0,8942.0,1962.0,3410.0,912.0,434.0,51.0,2378.0,8348.0,2167.0,2954.0,868.0,440.0,36.0,2095.0,9042.0,2572.0,3261.0,840.0,530.0,39.0,2061.0,8156.0,1728.0,3663.0,621.0,436.0,73.0,1803.0,8279.0,1837.0,3817.0,573.0,429.0,48.0,1788.0,8573.0,1847.0,3956.0,556.0,431.0,46.0,1977.0,8380.0,1926.0,3739.0,646.0,382.0,51.0,1806.0,TN
Texas,89037.0,8623.0,24601.0,5261.0,3028.0,270.0,47680.0,77278.0,6757.0,22262.0,4389.0,2499.0,234.0,42262.0,89811.0,7458.0,24506.0,4944.0,3240.0,254.0,50901.0,95384.0,10255.0,28314.0,4796.0,3535.0,267.0,49988.0,87750.0,8474.0,30261.0,4158.0,2944.0,220.0,43259.0,94481.0,8459.0,33039.0,3940.0,3143.0,238.0,47310.0,95557.0,9513.0,32341.0,3834.0,3139.0,226.0,48071.0,92674.0,8901.0,30819.0,4304.0,3427.0,280.0,46607.0,TX
Total,1266264.0,117430.0,422333.0,164285.0,165313.0,7385.0,472057.0,1052415.0,94711.0,383508.0,120821.0,134789.0,6101.0,417999.0,1107126.0,105915.0,383608.0,119138.0,154102.0,5263.0,463569.0,1130818.0,127050.0,413312.0,105398.0,162448.0,5578.0,450097.0,1042625.0,101355.0,422063.0,88743.0,153531.0,5345.0,400108.0,1062040.0,100374.0,451593.0,83850.0,146749.0,4980.0,397583.0,1031631.0,107241.0,429599.0,81671.0,140690.0,4742.0,384391.0,990553.0,98304.0,400548.0,86556.0,135908.0,5277.0,373981.0,TO
Utah,5749.0,602.0,1228.0,745.0,304.0,211.0,2717.0,5168.0,339.0,1309.0,652.0,210.0,177.0,2556.0,6087.0,596.0,1440.0,664.0,272.0,170.0,3051.0,6466.0,880.0,2070.0,549.0,250.0,132.0,2671.0,6085.0,541.0,2146.0,438.0,238.0,199.0,2615.0,6426.0,582.0,2317.0,444.0,199.0,212.0,2740.0,5932.0,514.0,2090.0,440.0,243.0,147.0,2567.0,5503.0,515.0,1782.0,383.0,233.0,197.0,2473.0,UT
Vermont,895.0,246.0,243.0,189.0,129.0,16.0,89.0,791.0,230.0,259.0,166.0,61.0,15.0,70.0,771.0,159.0,202.0,260.0,82.0,7.0,73.0,792.0,226.0,262.0,156.0,90.0,7.0,81.0,867.0,156.0,439.0,125.0,95.0,9.0,70.0,943.0,160.0,513.0,110.0,109.0,7.0,75.0,877.0,142.0,476.0,126.0,76.0,6.0,74.0,838.0,65.0,475.0,135.0,106.0,6.0,89.0,VT
Virginia,38488.0,7157.0,14433.0,3471.0,1490.0,104.0,12326.0,29682.0,5167.0,12453.0,2658.0,1075.0,105.0,8797.0,30257.0,5526.0,13119.0,3050.0,1277.0,104.0,7824.0,29825.0,5527.0,13732.0,2639.0,1156.0,92.0,7331.0,28607.0,5306.0,14158.0,2010.0,1108.0,89.0,6575.0,27767.0,5076.0,14155.0,1942.0,1049.0,60.0,6099.0,28227.0,5429.0,13748.0,1945.0,1071.0,78.0,6637.0,27861.0,5002.0,13435.0,2182.0,1147.0,91.0,6701.0,VA
